"","en","de","es","fr"
"AT",7.27,91.64,0.01,0.08
"BE",20.18,1.59,0.01,13.73
"BG",15.99,2.11,0.11,0.07
"CY",55.62,0.88,0.06,0.16
"CZ",7.27,0.15,0.03,0.01
"DE",4.74,94.97,0.01,0.04
"DK",11.71,0.07,0,0.02
"EE",9.87,0.6,0.02,0.01
"EL",45.82,2.15,0.26,0.61
"ES",12.42,0.29,83.74,0.33
"FI",18.6,0.21,0.02,0.04
"FR",1.82,0.11,0.03,97.79
"HR",31.1,0.16,0.04,0.13
"HU",19.21,1.03,0.08,0.13
"IE",99.54,0.11,0.02,0.07
"IT",4.64,0.2,0.06,0.51
"LT",13,0.24,0.23,0
"LU",57.84,4.42,0.01,37.41
"LV",5.6,0.66,0,0
"MT",98.99,0.32,0.06,0.03
"NL",12.24,0.67,0.02,0.08
"PL",14.79,0.02,0.01,0
"PT",30.52,1.08,1.57,0.51
"RO",32.37,0.76,1.12,0.3
"SE",12.4,0.03,0.01,0.01
"SI",3.63,0.73,0,0.01
"SK",8.49,0.46,0.01,0.36
"UK",98.99,0.36,0.01,0.15
